0,-0.001,0.056,0.03,0.043,-0.017,-0.003,-0.047,0.025,0.05
-0.001,0,0.016,-0.02,-0.054,-0.023,0.003,0.059,0.07,0.048
0.056,0.016,0,0.002,0.031,0.033,0.005,-0.011,0.1,0.045
0.03,-0.02,0.002,0,0,0.0008,0.001,0.0015,0.11,0.05
0.043,-0.054,0.031,0,0,0.0008,0.001,0.0015,0.12,0.05
-0.017,-0.023,0.033,0.0008,0.0008,0,0,0,0.134,0.05
-0.003,0.003,0.005,0.001,0.001,0,0,0,0.148,0.05
-0.047,0.059,-0.011,0.0015,0.0015,0,0,0,0.172,0.05
0.025,0.07,0.1,0.11,0.12,0.134,0.148,0.172,0,0
0.05,0.048,0.045,0.05,0.05,0.05,0.05,0.05,0,0
